nome,endereço,telefone
Martin Claret,"Rua Alegrete, 62 - Sumaré / São Paulo - SP 1254-010",(67) 2600-8963
Principis,"Rua Simplício Dias, 917 - Nossa Senhora do Carmo / São Paulo - SP 64200-055",(67) 99770-1390
Galera,"Rua Colonizador Ênio Pipino, 958 - Residencial Pérola / Sinop - MT 78558-099",(69) 2859-6853
Intrínseca,"Rua Caviana, 562 - Floresta Sul / Rio Branco - AC 69912-497",(69) 99420-7385
Rocco,"Rua Fortaleza, 404 - Santa Isabel / Várzea Grande - MT 78150-374",(47) 3791-2313
HarperCollins,"Rua 12 de Outubro, 327 - São Joaquim / Teresina - PI 64004-070",(47) 98957-7895
Editora Aleph,"Beco Um, 426 - Aberta dos Morros / Porto Alegre - RS 91751-356",(86) 3950-8740
Editora Arqueiro,"Rua das camelias, 25 - Centro / Fortaleza - CE",(88) 8185-0259
Arqueiro Boladão,"Rua teste, 87 São Paulo",11 1234-5678
Galera Irada,"Rua SÃ£o Paulo, 34 - SÃ£o Paulo - SP", (11) 1234-5678
Arqueiro BoladÃ£o,"Rua Tebas, 56 - SÃ£o Paulo - SP", (11) 2345-1234
Ilha dos Livros,"Rua Roque Pretrela, 56 - SÃ£o Paulo - SP", (11) 7892-3456
